,Name,url,lat,lon,Location,Phone
0,Ministop -  Trương Vĩnh Ký ,"https://www.google.com/maps/place/MINISTOP+Tr%C6%B0%C6%A1ng+V%C4%A9nh+K%C3%BD/@10.7943632,106.6282749,17z/data=!3m1!4b1!4m6!3m5!1s0x317529000c47913d:0xcea0eca8bf9ddacd!8m2!3d10.7943579!4d106.6308498!16s%2Fg%2F11y0dy1gr9?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",10.7943632,106.6282749,"212 - 214 Trương Vĩnh Ký, Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 4449
1,Ministop -  Nguyễn Trãi 2 ,"https://www.google.com/maps/place/Ministop+-+318+Nguy%E1%BB%85n+Tr%C3%A3i/@10.7550554,106.6486337,14z/data=!4m10!1m2!2m1!1sMinistop+-++Nguy%E1%BB%85n+Tr%C3%A3i+2+!3m6!1s0x31752f0067d157b3:0xe0577ff0296c36cc!8m2!3d10.7560026!4d106.674836!15sCh1NaW5pc3RvcCAtICBOZ3V54buFbiBUcsOjaSAyICIDiAEBWhsiGW1pbmlzdG9wIG5ndXnhu4VuIHRyw6NpIDKSARFjb252ZW5pZW5jZV9zdG9yZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyczFabFJWZEhwWU1EQXdXbGR2ZUZneVVUVlZNV1J1WVVWa2VtSXdSUkFC4AEA-gEECCkQFA!16s%2Fg%2F11xvtqltwj?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",10.7550554,106.6486337,"318 Nguyễn Trãi, Phường An Đông, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 1557
2,Ministop -  Lê Văn Sỹ 2 ,"https://www.google.com/maps/search/Ministop+-++L%C3%AA+V%C4%83n+S%E1%BB%B9+2+/@10.7890534,106.6731239,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",10.7890534,106.6731239,"407B Lê Văn Sỹ, Phường Nhiêu Lộc, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2759
3,Ministop -  Scenic Valley 2 ,"https://www.google.com/maps/place/MINISTOP+S268+-+SCENIC+VALLEY+2/@10.7313421,106.714723,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0051cd8381:0x85abd69c5c6fa519!8m2!3d10.7313368!4d106.7172979!16s%2Fg%2F11xz0js1mz?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",10.7313421,106.714723,"A0.03, trệt + lầu 1 (Tầng 1+2), Dự án khu dân cư Scenic Valley 2 (Lô MD4-4) – Phú Mỹ Hưng, Phường Tân Mỹ, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3722 5226
4,Ministop -  Nơ Trang Long ,"https://www.google.com/maps/place/S267+Ministop/@10.8047421,106.6925644,17z/data=!3m1!4b1!4m6!3m5!1s0x317529004adb0c1f:0xa9619d04899e2cb0!8m2!3d10.8047368!4d106.6951393!16s%2Fg%2F11zhzcwjt6?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",10.8047421,106.6925644,"24 Nơ Trang Long, Phường Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3622 2970
5,Ministop -  Trần Quốc Hoàn ,"https://www.google.com/maps/place/MINISTOP+-+TR%E1%BA%A6N+QU%E1%BB%90C+HO%C3%80N/@10.8058881,106.6616727,17z/data=!3m1!4b1!4m6!3m5!1s0x317529002bc94a43:0x69381db8ded344c4!8m2!3d10.8058828!4d106.6642476!16s%2Fg%2F11xncrd93n?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",10.8058881,106.6616727,"117 Trần Quốc Hoàn, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 8049
6,Ministop -  Võ Oanh ,"https://www.google.com/maps/place/Mini+Stop/@10.8046445,106.7125333,17z/data=!4m10!1m2!2m1!1sministop+vo+oanh!3m6!1s0x317529001c2dce5d:0xd88915627ded901a!8m2!3d10.8046445!4d106.714722!15sChBtaW5pc3RvcCB2byBvYW5oIgOIAQGSARFjb252ZW5pZW5jZV9zdG9yZeABAA!16s%2Fg%2F11yjhkkj6k?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",10.8046445,106.7125333,"92 - 94 Võ Oanh, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3535 5934
7,Ministop -  Tô Vĩnh Diện ,"https://www.google.com/maps/place/MINISTOP+S264+-+T%C3%94+V%C4%A8NH+DI%E1%BB%86N/@10.8523976,106.7641949,17z/data=!3m1!4b1!4m6!3m5!1s0x3175270067c951e1:0x7c0e13de2d04a91!8m2!3d10.8523923!4d106.7667698!16s%2Fg%2F11xlpl0qd_?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",10.8523976,106.7641949,"3A Tô Vĩnh Diện, Khu phố 4, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5044
8,Ministop -  Hoàng Việt 3 ,"https://www.google.com/maps/place/Ministop+-+S263+-+Ho%C3%A0ng+Vi%E1%BB%87t/@10.7945186,106.652622,16z/data=!4m10!1m2!2m1!1sMinistop+-++Ho%C3%A0ng+Vi%E1%BB%87t+3+!3m6!1s0x317529007611b5d1:0x528700dbb7bb77e7!8m2!3d10.7953043!4d106.6590358!15sChxNaW5pc3RvcCAtICBIb8OgbmcgVmnhu4d0IDMgIgOIAQFaGiIYbWluaXN0b3AgaG_DoG5nIHZp4buHdCAzkgEMb3V0bGV0X3N0b3JlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ3NE0wOVlSbkJqVldRelV6Sk9XbEl4YURCbGEwWlVXREo0UWxWclJSQULgAQD6AQQIABAi!16s%2Fg%2F11y7jz_j_q?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",10.7945186,106.652622,"22 Hoàng Việt, Phường 04, Quận Tân Bình, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 5027
9,Ministop -  Đường số 20 ,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+261+-+%C4%90%C6%B0%E1%BB%9Dng+s%E1%BB%91+20/@10.8277355,106.6528064,12z/data=!4m7!3m6!1s0x317529004175dbe3:0xe58865645e8ed5a0!8m2!3d10.8277355!4d106.7228442!15sCh5NaW5pc3RvcCAtICDEkMaw4budbmcgc-G7kSAyMCAiA4gBAVocIhptaW5pc3RvcCDEkcaw4budbmcgc-G7kSAyMJIBDG91dGxldF9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSSWRtVnFNbGRSRUFF4AEA-gEECG4QJQ!16s%2Fg%2F11wc4j87ry?entry=tts&g_ep=EgoyMDI1MTAyOS4yIPu8ASoASAFQAw%3D%3D&skid=109155eb-7ae1-47a5-b019-c170c15e3d54",10.8277355,106.6528064,"29 Đường số 20, Khu phố 4, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",Số điện thoại: (028) 3620 2998
